Name,Native language ,Primary homeland,Majority religion and sect
Abazins,"Northwest Caucasian, Abazgi, Abaza",Abazinia ,"Islam, Sunni Islam"
Abkhazians,"Northwest Caucasian, Abazgi, Abkhaz",Abkhazia ,"Christianity, Eastern Orthodoxy"
Acoli,"Nilo-Saharan, Nilotic, Luo, Acholi",Acoliland ,Christianity
Afar,"Afroasiatic, Cushitic, Afar","Afaria , Djibouti, Eritrea",Islam
African Americans,"Indo-European, Germanic, English, African-American English",United States,"Christianity, Protestantism"
Afrikaners,"Indo-European, Germanic, Dutch, Afrikaans","South Africa, Namibia","Christianity, Protestantism"
Agaw,"Afroasiatic, Cushitic, Agaw ",Agew Awi,"Christianity, Oriental Orthodoxy"
Ahom,"Kra–Dai, Tai, Ahom ",Assam ,Hinduism
Akan,"Niger–Congo, Kwa, Potou-Tano, Akan","Ghana, Ivory Coast",Christianity
Albanians,"Indo-European, Albanian","Albania, Republic of Macedonia, Montenegro , Kosovo ",Islam
Ambundu,"Niger–Congo, Atlantic–Congo, Bantu, Kimbundu",Angola,Christianity
Amhara,"Afroasiatic, Semitic, Amharic",Amharia ,"Christianity, Oriental Orthodoxy"
Anuak,"Nilo-Saharan, Nilotic, Luo, Anuak","Anuakia , Boma ",Christianity
Apache,"Dené–Yeniseian, Na-Dene, Apachean  ",United States,"Native American religion, Native American Church"
Arabs,"Afroasiatic, Semitic, Arabic",Arabia ,Islam
Armenians,"Indo-European, Armenian","Armenia, Republic of Artsakh",Christianity
Aromanians,"Indo-European, Romance, Aromanian",Southern Balkans,"Christianity, Eastern Orthodoxy"
Asmat,"Trans-New Guinea, Asmat ",Asmatia,Melanesian mythology
Assyrians,"Afroasiatic, Semitic, Assyrian Neo-Aramaic",Assyria ,Christianity
Austrians,"Indo-European, Germanic, Austro-Bavarian",Austria,"Christianity, Catholicism"
Avars,"Northeast Caucasian, Avar–Andic, Avar",Avaristan ,"Islam, Sunni Islam"
Aymara,"Aymaran, Aymara","Bolivia, Peru, Chile","Christianity, Catholicism"
Azerbaijanis,"Turkic, Oghuz, Azerbaijani","Azerbaijan, Iranian Azerbaijan ","Islam, Shia Islam"
Balanta,"Niger–Congo, Atlantic–Congo, Bak, Balanta","Guinea-Bissau, Senegal, and The Gambia","Islam, Traditional African religions"
Balinese,"Austronesian, Sunda–Sulawesi, Balinese",Bali ,"Hinduism, Balinese Hinduism"
Balkars,"Turkic, Kipchak, Karachay-Balkar ",Kabardino-Balkaria ,"Islam, Sunni Islam"
Balochis,"Indo-European, Indo-Iranian, Iranian, Balochi",Balochistan,"Islam, Sunni Islam"
Balti,"Sino-Tibetan, Tibetic, Ladakhi-Balti, Balti",Gilgit-Baltistan,"Islam, Shia Islam"
Bamars,"Sino-Tibetan, Lolo-Burmese, Burmish, Burmese",Myanmar,"Buddhism, Theravada Buddhism"
Bambara,"Niger–Congo, Mande, Manding, Bambara",Mali,Islam
Banda,"Niger–Congo, Ubangian, Banda ","Central African Republic, South Sudan, Democratic Republic of the Congo",Christianity
Banjarese,"Austronesian, Malayo-Sumbawan, Banjarese","Banjar Regency, Banjarbaru, Banjarmasin","Islam, Sunni Islam"
Bari,"Nilo-Saharan, Eastern Sudanic, Nilotic, Bari","South Sudan, Uganda",Christianity
Bariba,"Niger–Congo, Atlantic–Congo, Savannas, Bariba",Borgu ,Islam
Bashkirs,"Turkic, Kipchak, Bashkir",Bashkortostan,Islam
Basques,Basque,Basque Country,"Christianity, Catholicism"
Bassa,"Niger–Congo, Atlantic–Congo, Kru, Bassa",Bassaland,"Christianity, Protestantism"
Beja,"Afroasiatic, Cushitic, Beja","Sudan, Egypt, Eritrea","Islam, Sunni Islam"
Belarusians,"Indo-European, Slavic, Belarusian ",Belarus,"Christianity, Eastern Orthodox"
Bembe,"Niger–Congo, Bantu, Lega–Binja, Bembe","Democratic Republic of the Congo, Tanzania","Christianity, Traditional African religions"
Bengalis,"Indo-European, Indo-Iranian, Indo-Aryan, Bengali","Bangladesh, India","Islam, Hinduism"
Berbers,"Afroasiatic, Berber ",Maghreb ,"Islam, Sunni Islam"
Berta,"Nilo-Saharan, Berta",Benishangul-Gumuz Region,Islam
Beti,"Niger–Congo, Atlantic–Congo, Bantu, Beti","Cameroon, Gabon, Equatorial Guinea",Christianity
Bissa,"Niger–Congo, Mande, Bissa",Burkina Faso,Islam
Bodo,"Sino-Tibetan, Sal, Bodo-Garo, Bodo",Bodoland ,Bathouism
Bosniaks,"Indo-European, Slavic, Serbo-Croatian, Bosnian","Bosnia and Herzegovina, Sandžak ","Islam, Sunni Islam"
Brahui,"Dravidian, Brahui",Pakistan,Islam
Bretons,"Indo-European, Celtic, Brittonic, Breton ",Brittany ,"Christianity, Catholicism"
Bubi,"Niger–Congo, Atlantic–Congo, Bantu, Bube",Bioko ,"Christianity, Traditional African religions"
Bulgarians,"Indo-European, Slavic, Bulgarian","Bulgaria, Western Outlands , Budjak ","Christianity, Eastern Orthodoxy"
Butonese,"Austronesian, Celebic, Butonese ",Buton ,Islam
Catalans,"Indo-European, Romance, Catalan",Catalan Countries,"Christianity, Catholicism"
Chamorro,"Austronesian, Sunda-Sulawesi, Chamorro",Mariana Islands,"Christianity, Catholicism"
Chechens,"Northeast Caucasian, Nakh, Vainakh, Chechen",Chechnya,"Islam, Sunni Islam"
Cherokee,"Iroquoian, Cherokee ",United States ,Christianity
Chewa,"Niger–Congo, Bantu, Nyasa, Chewa","Malawi, Zambia, Zimbabwe, Mozambique","Christianity, Traditional African religions"
Chin,"Sino-Tibetan, Kuki-Chin–Naga, Kuki-Chin ",Chin State,Christianity
Choctaw,"Muskogean, Choctaw ",Choctaw Nation,Native American religion
Chokwe,"Niger–Congo, Atlantic–Congo, Bantu, Chokwe","Angola, Democratic Republic of the Congo, Zambia","Christianity, Traditional African religions"
Chutiya,"Sino-Tibetan, Sal, Bodo-Garo, Deori ",Assam ,Hinduism
Chuukese,"Austronesian, Micronesian, Chuukic, Chuukese",Chuuk Lagoon,"Christianity, Catholicism"
Chuvash,"Turkic, Oghur, Chuvash",Chuvashia,"Christianity, Eastern Orthodoxy"
Circassians,"Northwest Caucasian, Circassian",Circassia ,"Islam, Sunni Islam"
Cornish,"Indo-European, Celtic, Brittonic, Cornish ",Cornwall ,Christianity
Corsicans,"Indo-European, Romance, Corsican ",Corsica ,Christianity
Cree,"Algic, Algonquian, Cree ","Creeland, Montana",Christianity
Croats,"Indo-European, Slavic, Serbo-Croatian, Croatian","Croatia, Bosnia and Herzegovina","Christianity, Catholicism"
Czechs,"Indo-European, Slavic, Czech",Czech Republic,"Christianity, Catholicism"
Dagaaba,"Niger–Congo, Gur, Oti–Volta, Dagaare","Ghana, Burkina Faso","Traditional African religions, Islam, Christianity"
Danes,"Indo-European, Germanic, Danish",Denmark,"Christianity, Protestantism"
Dargins,"Northeast Caucasian, Dargin, Dargwa",Darginstan in Dagestan ,Islam
Dayak,"Austronesian, Sabahan, Dayak languages ","West Kalimantan, Central Kalimantan",Christianity
Dinka,"Nilo-Saharan, Nilotic, Dinka",Dinkaland ,"Christianity, Traditional African religions"
Duala,"Niger–Congo, Bantu, Sawabantu, Duala",Littoral Region,"Christianity, Traditional African religions"
Dutch,"Indo-European, Germanic, Dutch","Netherlands, Flanders ",Christianity
Dyula,"Niger–Congo, Mande, Manding, Dyula","Burkina Faso, Ivory Coast, Mali","Islam, Sunni Islam"
Efik,"Niger–Congo, Cross River, Ibibio-Efik, Efik",Cross River State,"Christianity, Traditional African religions, Efik mythology"
Egyptians,"Afroasiatic, Egyptian, Coptic ",Egypt,"Islam, Sunni Islam"
English,"Indo-European, Germanic, Anglic, English",England ,"Christianity, Protestantism"
Estonians,"Uralic, Finnic, Estonian",Estonia,"Christianity, Protestantism"
Evenks,"Tungusic, Evenki",Evenkia ,"Christianity, Eastern Orthodoxy"
Ewe,"Niger–Congo, Gbe, Ewe","Togo, Ghana",Christianity
Fijians,"Austronesian, Oceanic, Central Pacific, Fijian",Fiji,"Christianity, Protestantism"
Finns,"Uralic, Finnic, Finnish","Finland, Meänmaa, Ingria","Christianity, Protestantism"
Fon,"Niger–Congo, Gbe, Fon",Dahomey ,"Traditional African religions, West African Vodun"
French,"Indo-European, Romance, French","France, Romandy, Wallonia-Brussels, Aosta Valley ","Christianity, Catholicism"
Frisians,"Indo-European, Germanic, Frisian ",Frisia,"Christianity, Protestantism"
Friulians,"Indo-European, Romance, Rhaeto-Romance, Friulian",Friuli ,"Christianity, Catholicism"
